index,run,trial,onset,duration,cond,rep,resp,acc,respRT,ISIresp,ISIacc,ISIrespRT
258,2,38,96.4007,1.5994,face,0,NR,0,999.0000,0,1,0.3035
259,2,39,98.0003,1.6009,face,0,0,1,0.4695,NR,0,999.0000
260,2,40,99.6014,1.5992,face,1,NR,0,999.0000,1,1,0.0602
261,2,41,101.2008,1.5994,face,0,0,1,0.5040,NR,0,999.0000
262,2,42,102.8003,1.6002,face,0,NR,0,999.0000,0,1,0.0367
263,2,43,104.4008,1.6004,face,1,1,1,0.5719,NR,0,999.0000
264,2,44,106.0147,9.9864,rest,0,NR,1,999.0000,NR,1,0.0000
265,2,45,116.0013,1.5988,tool,0,NR,0,999.0000,0,1,0.1536
266,2,46,117.6003,1.6000,tool,0,0,1,0.4935,NR,0,999.0000
267,2,47,119.2005,1.6007,tool,0,NR,0,999.0000,0,1,0.0187
268,2,48,120.8015,1.5992,tool,1,NR,0,999.0000,1,1,0.0649
269,2,49,122.4009,1.6002,tool,0,NR,0,999.0000,0,1,0.0798
270,2,50,124.0012,1.6001,tool,0,0,1,0.5384,NR,0,999.0000
271,2,51,125.6015,1.5988,tool,1,1,1,0.3667,NR,0,999.0000
272,2,52,127.2006,1.5999,tool,0,0,1,0.5041,NR,0,999.0000
273,2,53,128.8007,1.6004,tool,0,NR,0,999.0000,NR,0,999.0000
274,2,54,130.4013,1.5995,tool,1,1,1,0.3352,NR,0,999.0000
275,2,55,132.0155,9.9851,rest,0,NR,1,999.0000,NR,1,0.0000
276,2,56,142.0008,1.5998,animal,0,NR,0,999.0000,0,1,0.6527
277,2,57,143.6008,1.5994,animal,0,NR,0,999.0000,0,1,0.2738
278,2,58,145.2004,1.5997,animal,1,NR,0,999.0000,1,1,0.0621
279,2,59,146.8003,1.6007,animal,0,0,1,0.5495,NR,0,999.0000
280,2,60,148.4012,1.5994,animal,0,NR,0,999.0000,NR,0,999.0000
281,2,61,150.0008,1.6002,animal,1,1,1,0.5197,NR,0,999.0000
282,2,62,151.6012,1.6001,animal,0,0,1,0.4935,NR,0,999.0000
283,2,63,153.2015,1.5994,animal,0,0,1,0.4648,NR,0,999.0000
284,2,64,154.8011,1.5998,animal,0,0,1,0.5191,NR,0,999.0000
285,2,65,156.4011,1.5993,animal,1,1,1,0.3116,NR,0,999.0000
286,2,66,158.0161,9.9843,rest,0,NR,1,999.0000,NR,1,0.0000
287,2,67,168.0006,1.5995,virtualtown,0,NR,0,999.0000,0,1,0.2564
288,2,68,169.6003,1.6001,virtualtown,0,NR,0,999.0000,0,1,0.0698
289,2,69,171.2006,1.6003,virtualtown,1,NR,0,999.0000,1,1,0.0075
290,2,70,172.8011,1.5999,virtualtown,0,NR,0,999.0000,0,1,0.0061
291,2,71,174.4012,1.5989,virtualtown,1,NR,0,999.0000,0,0,0.5962
292,2,72,176.0003,1.6006,virtualtown,0,1,0,0.1014,0,1,0.3274
293,2,73,177.6011,1.5999,virtualtown,0,NR,0,999.0000,0,1,0.4741
294,2,74,179.2012,1.5998,virtualtown,1,NR,0,999.0000,0,0,0.2459
295,2,75,180.8012,1.5989,virtualtown,0,NR,0,999.0000,0,1,0.2125
296,2,76,182.4003,1.5998,virtualtown,0,NR,0,999.0000,0,1,0.1986
297,2,77,184.0166,9.9838,rest,0,NR,1,999.0000,NR,1,0.0000
298,2,78,194.0007,1.6005,animal,0,NR,0,999.0000,0,1,0.3035
299,2,79,195.6014,1.5990,animal,0,0,1,0.5361,NR,0,999.0000
300,2,80,197.2006,1.6006,animal,1,1,1,0.3511,NR,0,999.0000
301,2,81,198.8014,1.5990,animal,0,0,1,0.4781,NR,0,999.0000
302,2,82,200.4006,1.6001,animal,0,0,1,0.5106,NR,0,999.0000
303,2,83,202.0008,1.6000,animal,0,0,1,0.5138,NR,0,999.0000
304,2,84,203.6011,1.5990,animal,1,NR,0,999.0000,1,1,0.0395
305,2,85,205.2003,1.5999,animal,0,0,1,0.5277,NR,0,999.0000
306,2,86,206.8004,1.5997,animal,0,0,1,0.4584,NR,0,999.0000
307,2,87,208.4003,1.6008,animal,1,0,0,0.5362,1,1,0.5230
308,2,88,210.0174,9.9838,rest,0,NR,1,999.0000,NR,1,0.0000
309,2,89,220.0014,1.5990,face,0,NR,0,999.0000,0,1,0.0815
310,2,90,221.6006,1.5999,face,0,0,1,0.4095,NR,0,999.0000
311,2,91,223.2007,1.5996,face,1,1,1,0.3208,NR,0,999.0000
312,2,92,224.8006,1.6006,face,0,0,1,0.4183,NR,0,999.0000
313,2,93,226.4014,1.5989,face,1,1,1,0.4852,NR,0,999.0000
314,2,94,228.0005,1.6010,face,0,0,1,0.4097,NR,0,999.0000
315,2,95,229.6016,1.5992,face,0,NR,0,999.0000,0,1,0.0129
316,2,96,231.2010,1.5995,face,0,0,1,0.4816,NR,0,999.0000
317,2,97,232.8008,1.6004,face,1,1,1,0.4520,NR,0,999.0000
318,2,98,234.4014,1.5995,face,0,0,1,0.3974,NR,0,999.0000
319,2,99,236.0179,9.9824,rest,0,NR,1,999.0000,NR,1,0.0000
320,2,100,246.0006,1.6005,virtualtown,0,NR,0,999.0000,0,1,0.1515
321,2,101,247.6014,1.5993,virtualtown,0,NR,0,999.0000,0,1,0.0158
322,2,102,249.2009,1.6002,virtualtown,1,1,1,0.5260,NR,0,999.0000
323,2,103,250.8013,1.5999,virtualtown,0,0,1,0.4566,NR,0,999.0000
324,2,104,252.4014,1.5988,virtualtown,0,0,1,0.5793,NR,0,999.0000
325,2,105,254.0004,1.6005,virtualtown,1,NR,0,999.0000,1,1,0.0655
326,2,106,255.6011,1.5999,virtualtown,0,0,1,0.4570,NR,0,999.0000
327,2,107,257.2012,1.6000,virtualtown,0,0,1,0.4745,NR,0,999.0000
328,2,108,258.8015,1.5992,virtualtown,0,NR,0,999.0000,NR,0,999.0000
329,2,109,260.4009,1.5992,virtualtown,1,1,1,0.5543,NR,0,999.0000
330,2,110,262.0186,9.9822,rest,0,NR,1,999.0000,NR,1,0.0000
331,2,111,272.0009,1.5997,virtualtown,0,NR,0,999.0000,NR,0,999.0000
332,2,112,273.6009,1.5995,virtualtown,0,0,1,0.5672,NR,0,999.0000
333,2,113,275.2006,1.6005,virtualtown,0,0,1,0.5649,NR,0,999.0000
334,2,114,276.8013,1.6000,virtualtown,1,NR,0,999.0000,1,1,0.0949
335,2,115,278.4015,1.5989,virtualtown,0,0,1,0.5501,NR,0,999.0000
336,2,116,280.0006,1.5997,virtualtown,1,NR,0,999.0000,1,1,0.1648
337,2,117,281.6005,1.5995,virtualtown,0,0,1,0.5146,NR,0,999.0000
338,2,118,283.2002,1.6005,virtualtown,0,NR,0,999.0000,0,1,0.0772
339,2,119,284.8010,1.6001,virtualtown,0,NR,0,999.0000,0,1,0.0843
340,2,120,286.4013,1.5993,virtualtown,1,1,1,0.4510,NR,0,999.0000
341,2,121,288.0124,9.9882,rest,0,NR,1,999.0000,NR,1,0.0000
342,2,122,298.0010,1.5994,fruitveg,0,0,1,0.4718,NR,0,999.0000
343,2,123,299.6006,1.5999,fruitveg,0,0,1,0.4963,NR,0,999.0000
344,2,124,301.2007,1.6002,fruitveg,0,0,1,0.4271,NR,0,999.0000
345,2,125,302.8011,1.6000,fruitveg,1,1,1,0.5584,NR,0,999.0000
346,2,126,304.4014,1.5991,fruitveg,0,0,1,0.4898,NR,0,999.0000
347,2,127,306.0006,1.6000,fruitveg,0,0,1,0.3860,NR,0,999.0000
348,2,128,307.6008,1.5998,fruitveg,1,NR,0,999.0000,1,1,0.0445
349,2,129,309.2008,1.5996,fruitveg,0,0,1,0.4090,NR,0,999.0000
350,2,130,310.8007,1.6004,fruitveg,1,1,1,0.4150,NR,0,999.0000
351,2,131,312.4012,1.5989,fruitveg,0,0,1,0.4242,NR,0,999.0000
352,2,132,314.0040,9.9963,rest,0,NR,1,999.0000,NR,1,0.0000
353,2,133,324.0005,1.6006,animal,0,NR,0,999.0000,0,1,0.0150
354,2,134,325.6013,1.5990,animal,0,0,1,0.4612,NR,0,999.0000
