index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
112,4,2,11.1785,10.391,Town2,env2,1,mark zuckerberg,5.8621,face,1
113,4,2,11.1785,10.391,Town2,env2,2,cucumber,3.1515,fruitveg,1
114,4,2,11.1785,10.391,Town2,env2,3,scissors,1.3755,tool,1
115,4,3,21.6101,11.2626,Town4,env4,1,natalie portman,5.5737,face,1
116,4,3,21.6101,11.2626,Town4,env4,2,crocodile,3.4556,animal,1
117,4,3,21.6101,11.2626,Town4,env4,3,saw,2.2316,tool,1
118,4,4,32.9132,14.6399,Town5,env5,1,benedict cumberbatch,5.9265,face,1
119,4,4,32.9132,14.6399,Town5,env5,2,flamingo,6.4878,animal,1
120,4,4,32.9132,14.6399,Town5,env5,3,watermellon,2.2238,fruitveg,1
121,4,5,47.5952,8.4456,Town6,env6,1,taylor swift,4.5886,face,1
122,4,5,47.5952,8.4456,Town6,env6,2,tape measure,3.1846,tool,1
123,4,5,47.5952,8.4456,Town6,env6,3,cow,0.6706,animal,1
124,4,6,56.0816,7.935,Town1,env1,1,lettuce,2.6308,fruitveg,1
125,4,6,56.0816,7.935,Town1,env1,2,zebra,3.4802,animal,1
126,4,6,56.0816,7.935,Town1,env1,3,clooney,1.8223,face,1
127,4,7,64.0574,4.5367,Town8,env8,1,beyonce,2.3751,face,1
128,4,7,64.0574,4.5367,Town8,env8,2,dog,0.759,animal,1
129,4,7,64.0574,4.5367,Town8,env8,3,oranges,1.4009,fruitveg,1
130,4,8,68.6353,25.377,Town10,env10,1,katy perry,3.5581,face,1
131,4,8,68.6353,25.377,Town10,env10,2,grapes,1.2783,fruitveg,1
132,4,8,68.6353,25.377,Town10,env10,3,duck,20.5389,animal,1
133,4,9,94.0535,10.5797,Town7,env7,1,sheldon,2.3336,face,1
134,4,9,94.0535,10.5797,Town7,env7,2,giraffe,2.2959,animal,1
135,4,9,94.0535,10.5797,Town7,env7,3,drill,5.9482,tool,1
136,4,10,104.6743,10.0471,Town11,env11,1,depp,2.0709,face,1
137,4,10,104.6743,10.0471,Town11,env11,2,carrot,5.5589,fruitveg,1
138,4,10,104.6743,10.0471,Town11,env11,3,hammer,2.4154,tool,1
139,4,11,114.7619,10.031,Town3,env3,1,emma watson,5.3264,face,1
140,4,11,114.7619,10.031,Town3,env3,2,bear,1.0397,animal,1
141,4,11,114.7619,10.031,Town3,env3,3,screwdriver,3.6629,tool,1
142,4,12,124.8342,10.1823,Town12,env12,1,zooey deschanel,4.8381,face,1
143,4,12,124.8342,10.1823,Town12,env12,2,apple,4.0385,fruitveg,1
144,4,12,124.8342,10.1823,Town12,env12,3,stapler,1.3038,tool,1
145,5,1,1.0015,10.4714,Town12,env12,1,zooey deschanel,5.949,face,1
146,5,1,1.0015,10.4714,Town12,env12,2,apple,3.1183,fruitveg,1
147,5,1,1.0015,10.4714,Town12,env12,3,stapler,1.4001,tool,1
148,5,2,11.5136,11.3911,Town4,env4,1,natalie portman,5.9415,face,1
149,5,2,11.5136,11.3911,Town4,env4,2,saw,3.0167,tool,1
150,5,2,11.5136,11.3911,Town4,env4,3,crocodile,2.4311,animal,1
151,5,3,22.9462,8.2071,Town11,env11,1,depp,2.3977,face,1
152,5,3,22.9462,8.2071,Town11,env11,2,hammer,3.5677,tool,1
153,5,3,22.9462,8.2071,Town11,env11,3,carrot,2.24,fruitveg,1
154,5,4,31.1939,10.4946,Town3,env3,1,emma watson,4.4696,face,1
155,5,4,31.1939,10.4946,Town3,env3,2,bear,1.9191,animal,1
156,5,4,31.1939,10.4946,Town3,env3,3,screwdriver,4.1042,tool,1
157,5,5,41.7299,11.8071,Town5,env5,1,cumberbatch,4.9496,face,1
158,5,5,41.7299,11.8071,Town5,env5,2,flamingo,3.0636,animal,1
159,5,5,41.7299,11.8071,Town5,env5,3,watermellon,3.7921,fruitveg,1
160,5,6,53.579,9.3249,Town7,env7,1,sheldon,2.853,face,1
161,5,6,53.579,9.3249,Town7,env7,2,giraffe,2.7108,animal,1
162,5,6,53.579,9.3249,Town7,env7,3,drill,3.7593,tool,1
163,5,7,62.9443,10.2315,Town2,env2,1,zuckerberg,3.8071,face,1
164,5,7,62.9443,10.2315,Town2,env2,2,cucumber,4.5833,fruitveg,1
165,5,7,62.9443,10.2315,Town2,env2,3,scissors,1.8394,tool,1
166,5,8,73.2167,8.4885,Town9,env9,1,paul mccartney,3.9026,face,1
167,5,8,73.2167,8.4885,Town9,env9,2,bananas,2.8798,fruitveg,1
168,5,8,73.2167,8.4885,Town9,env9,3,wrench,1.7043,tool,1
169,5,9,81.7466,7.0464,Town1,env1,1,clooney,3.8052,face,1
170,5,9,81.7466,7.0464,Town1,env1,2,lettuce,1.9358,fruitveg,1
171,5,9,81.7466,7.0464,Town1,env1,3,zebra,1.3036,animal,1
172,5,10,88.8344,7.9414,Town6,env6,1,taylor swift,4.67,face,1
173,5,10,88.8344,7.9414,Town6,env6,2,cow,1.1106,animal,1
174,5,10,88.8344,7.9414,Town6,env6,3,tape measure,2.1591,tool,1
175,5,11,96.8164,8.4958,Town8,env8,1,beyonce,2.7757,face,1
176,5,11,96.8164,8.4958,Town8,env8,2,dog,0.9917,animal,1
177,5,11,96.8164,8.4958,Town8,env8,3,oranges,4.7266,fruitveg,1
178,5,12,105.3536,5.7516,Town10,env10,1,katy perry,2.0708,face,1
179,5,12,105.3536,5.7516,Town10,env10,2,duck,1.3429,animal,1
180,5,12,105.3536,5.7516,Town10,env10,3,grapes,2.3361,fruitveg,1
