env,x,y
env2,8,27
env2,8,28
env2,8,24
env2,9,24
env2,10,24
env2,11,24
env2,12,24
env2,13,24
env2,14,24
env2,15,24
env2,16,24
env2,17,24
env2,18,24
env2,19,24
env2,20,24
env2,21,24
env2,22,24
env2,23,24
env2,24,24
env2,24,8
env2,24,9
env2,24,10
env2,24,11
env2,24,12
env2,24,13
env2,24,14
env2,24,15
env2,24,16
env2,24,17
env2,24,18
env2,24,19
env2,24,20
env2,24,21
env2,24,22
env2,24,23
env2,24,24
env2,8,36
env2,8,37
env2,8,38
env2,8,39
env2,8,40
env2,8,41
env2,8,42
env2,8,43
env2,8,44
env2,8,45
env2,8,46
env2,8,47
env2,8,48
env2,8,48
env2,9,48
env2,10,48
env2,11,48
env2,12,48
env2,13,48
env2,14,48
env2,15,48
env2,16,48
env2,17,48
env2,18,48
env2,19,48
env2,20,48
env2,20,44
env2,20,45
env2,20,46
env2,20,47
env2,20,48
env2,16,44
env2,17,44
env2,18,44
env2,19,44
env2,20,44
env2,16,40
env2,16,41
env2,16,42
env2,16,43
env2,16,44
env2,12,40
env2,13,40
env2,14,40
env2,15,40
env2,16,40
env2,12,36
env2,12,37
